studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)",Nis2,NoTrueControl,thin_severity,Olson_Biome,cwd,map,vpd,mat
129,Morris et al. 2022,Pinus contorta,Moderate thinning + timber stand improvement,1938,67,,2018,Basal area fraction killed by beetles,fraction,0.71,4,0.22,0.11,0.83,4,0.14,0.07,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA,0,0,high,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
129,Morris et al. 2022,Pinus contorta,"Moderate thinning, no timber stand improvement",1938,67,,2018,Basal area fraction killed by beetles,fraction,0.81,4,0.2,0.1,0.83,4,0.14,0.07,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA,0,0,high,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
129,Morris et al. 2022,Pinus contorta,High thinning + timber stand improvement,1938,83,,2018,Basal area fraction killed by beetles,fraction,0.63,4,0.18,0.09,0.83,4,0.14,0.07,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA,0,0,high,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
129,Morris et al. 2022,Pinus contorta,"High thinning, no timber stand improvement",1938,83,,2018,Basal area fraction killed by beetles,fraction,0.82,4,0.16,0.08,0.83,4,0.14,0.07,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA,0,0,high,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
129,Morris et al. 2022,Pinus contorta,Low thinning + timber stand improvement,1938,50,,2018,Live basal area,m2/ha,23,4,10,5,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA,0,0,moderate,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
129,Morris et al. 2022,Pinus contorta,Moderate thinning + timber stand improvement,1938,67,,2018,Live basal area,m2/ha,28,4,16,8,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA,0,0,high,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
129,Morris et al. 2022,Pinus contorta,"Moderate thinning, no timber stand improvement",1938,67,,2018,Live basal area,m2/ha,15.5,4,12,6,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA,0,0,high,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
129,Morris et al. 2022,Pinus contorta,High thinning + timber stand improvement,1938,83,,2018,Live basal area,m2/ha,24,4,12,6,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA,0,0,high,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
129,Morris et al. 2022,Pinus contorta,"High thinning, no timber stand improvement",1938,83,,2018,Live basal area,m2/ha,17,4,11,5.5,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA,0,0,high,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
149,Sullivan et al 2003,Pinus palustris,Low intensity burn,1997,,,2000,Cumulative mortality,fraction,0.0925514607,4,0.04855564,0.024277822,0.0576190519,4,0.03667988,0.018339938,insects,1998,2000,,Field experiment,"Savannah River Site, National Environmental Research Park, Barnwell County, South Carolina, USA",33.36,-81.6,It is not fully clear whether trees did actually die from insects (most dying trees had bark beetles on them). Also not clear if there was a distinct barkbeetle outbreak,2,0,0,1,,NA,0,0,,Temperate Conifer Forests,338.68,519.5,0.46997222,2.03713889
