studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)"
181,D'amato et al 2011,Picea glauca,Thinning,1999-2002,51,,2004-2007,Stem mortality rate,%,5.7,30,7.668115805,1.4,14,30,7.668115805,1.4,insects,2002,2005,spruce budworm,Field experiment,Northern Minnesota,47/48,93,,2,0,0,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1967, 1977, 1986",70.80291971,136_stems_per_hectare,2012,mortality,m2/ha,0,3,NA,NA,0,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Blue Mountains,44.35,-118.28,"**NO TRUE CONTROL: Control was 20-38% BA removed; methods suggest 45 years of measurement, figure 6 says 60 years. typo?.*** n likely 3 ",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1967, 1977, 1986",58.23529412,272_stems_per_hectare,2012,mortality,m2/ha,0,3,NA,NA,0,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Blue Mountains,44.35,-118.28,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?.*** n likely 3 but not sure",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1967, 1977, 1986",48.7654321,363_stems_per_hectare,2012,mortality,m2/ha,0,3,NA,NA,0,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Blue Mountains,44.35,-118.28,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?.*** n likely 3 but not sure",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1967, 1977, 1986",43.75,452_stems_per_hectare,2012,mortality,m2/ha,0,3,NA,NA,0,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Blue Mountains,44.35,-118.28,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?.*** n likely 3 but not sure",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1967, 1977, 1986",38.88888889,544_stems_per_hectare,2012,mortality,m2/ha,0,3,NA,NA,0,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Blue Mountains,44.35,-118.28,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?.*** n likely 3 but not sure",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1965, 1975, 1985",76.66666667,136_stems_per_hectare,2012,mortality,m2/ha,0,3,NA,NA,7.894736842,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Lookout Mountain,43.46,-121.43,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1965, 1975, 1985",67.31707317,272_stems_per_hectare,2012,mortality,m2/ha,3.383458647,3,NA,NA,7.894736842,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Lookout Mountain,43.46,-121.43,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1965, 1975, 1985",61.68224299,363_stems_per_hectare,2012,mortality,m2/ha,1.879699248,3,NA,NA,7.894736842,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Lookout Mountain,43.46,-121.43,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1965, 1975, 1985",54.50236967,452_stems_per_hectare,2012,mortality,m2/ha,2.255639098,3,NA,NA,7.894736842,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Lookout Mountain,43.46,-121.43,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?",2,0,1,0,,NA
